Site,Dist,Site name,Start,End,Lat,Lon,STA
5057,5,HARDING RIVER,1967,1989,-21.3417,117.0833,WA
5058,5,BARROW ISLAND,1967,2000,-20.8206,115.3931,WA
5059,,MOUNT LIONEL AIRSTRIP,1967,..,-22.6087,117.6313,WA
5060,5,NAVY CHARLIE,1968,1971,-22.3333,114.05,WA
5061,5,DAMPIER SALT,1969,..,-20.7278,116.7483,WA
5062,5,JAMINU OUTCAMP,1924,1930,-22.3167,115.1833,WA
5063,5,MOUNT BROCKMAN,1969,1976,-22.3,117.2833,WA
5064,5,SAND HILL,1971,1984,-22.7825,119.6172,WA
5065,5,MONTE BELLO ISLANDS,1956,1956,-20.4167,115.55,WA
5066,5,UAROO,1916,..,-22.7814,115.3722,WA
5067,5,CANE RIVER,1966,1997,-22.0894,115.6239,WA
